"Name","Team","AB","AVG","OBP","SLG","OPS","H","BB","R","RBI","1B","2B","3B","HR","IBB","SO","HBP","SF","GDP","SB","GB","FB","Balls","Strikes","BB%","K%","BB/K","ISO","BABIP","GB/FB","wOBA","Bat","Fld","BsR","WAR","Dol","Barrels","Barrel%","xwOBA","playerid"
"Starling Marte","NYM","466",".292",".347",".468",".814","136","26","76","63","91","24","5","16","0","97","13","0","18","18","180","106","643","1277","5.1%","19.2%","0.27",".176",".340","1.70",".355","21.0","-4.4","-0.2","3.0","$23.6","25","6.8%",".336","9241"
"Garrett Stubbs","PHI","106",".264",".350",".462",".812","28","14","19","16","18","4","1","5","0","30","0","0","2","2","29","27","192","313","11.6%","24.8%","0.47",".198",".324","1.07",".355","4.0","-6.1","1.5","0.6","$4.7","4","5.2%",".275","18067"
"Kyle Schwarber","PHI","577",".218",".323",".504",".827","126","86","100","94","56","21","3","46","3","200","4","2","10","10","125","192","1152","1726","12.9%","29.9%","0.43",".286",".240","0.65",".355","22.0","-11.1","-0.8","2.6","$21.0","76","20.1%",".375","16478"
"J.T. Realmuto","PHI","504",".276",".342",".478",".820","139","41","75","84","86","26","5","22","1","119","12","5","7","21","173","140","779","1414","7.3%","21.2%","0.34",".202",".318","1.24",".354","18.3","8.6","6.6","6.5","$51.9","44","11.3%",".351","11739"
"Adley Rutschman","BAL","398",".254",".362",".445",".806","101","65","70","42","52","35","1","13","0","86","4","3","4","4","121","121","802","1207","13.8%","18.3%","0.76",".191",".291","1.00",".354","17.5","9.1","5.0","5.3","$42.5","25","7.9%",".342","26288"
"Mark Mathias","- - -","81",".247",".319",".506",".825","20","9","13","20","11","3","0","6","0","30","0","1","0","3","24","19","159","245","9.9%","33.0%","0.30",".259",".304","1.26",".353","3.2","0.9","1.1","0.7","$5.4","6","11.5%",".298","18032"
"Brandon Nimmo","NYM","580",".274",".367",".433",".800","159","71","102","64","106","30","7","16","0","116","16","3","9","3","234","147","1058","1723","10.5%","17.2%","0.61",".159",".317","1.59",".353","26.9","-0.3","-0.3","5.4","$43.0","33","7.0%",".342","12927"
"Jaylin Davis","BOS","24",".333",".407",".375",".782","8","3","4","2","7","1","0","0","0","11","0","0","0","0","5","1","51","77","11.1%","40.7%","0.27",".042",".615","5.00",".352","0.8","-0.2","0.1","0.1","$1.1","0","0.0%",".272","19552"
"Anthony Rizzo","NYY","465",".224",".338",".480",".817","104","58","77","75","50","21","1","32","6","101","23","2","13","6","121","180","783","1329","10.6%","18.4%","0.57",".256",".216","0.67",".352","20.1","-1.0","-3.6","2.4","$19.3","40","10.9%",".349","3473"
"George Springer","TOR","513",".267",".342",".472",".814","137","54","89","76","86","22","4","25","1","100","7","5","7","14","186","157","817","1358","9.3%","17.2%","0.54",".205",".285","1.18",".352","21.1","-0.7","4.6","4.2","$33.7","35","8.3%",".342","12856"
"Jake Fraley","CIN","216",".259",".344",".468",".812","56","26","33","28","35","9","0","12","1","54","3","2","1","4","71","60","384","601","10.5%","21.9%","0.48",".208",".289","1.18",".352","6.0","-3.2","1.6","1.0","$8.1","12","7.3%",".333","19260"
"Vladimir Guerrero Jr.","TOR","638",".274",".339",".480",".818","175","58","90","97","108","35","0","32","6","116","6","4","26","8","274","161","931","1665","8.2%","16.4%","0.50",".205",".289","1.70",".351","25.3","-2.1","-6.0","2.8","$22.3","59","11.2%",".348","19611"
"Stuart Fairchild","- - -","97",".247",".336",".464",".800","24","8","14","6","14","4","1","5","0","34","5","0","1","0","26","24","162","261","7.3%","30.9%","0.24",".216",".328","1.08",".350","2.6","0.8","-1.2","0.6","$4.5","6","9.5%",".317","20321"
"Trea Turner","LAD","652",".298",".343",".466",".809","194","45","101","100","130","39","4","21","1","131","3","6","9","27","226","188","941","1779","6.4%","18.5%","0.34",".169",".342","1.20",".350","23.1","-0.1","6.5","6.3","$50.8","40","7.6%",".335","16252"
"Brandon Drury","- - -","518",".263",".320",".492",".813","136","38","87","87","75","31","2","28","0","126","8","4","8","2","162","156","799","1443","6.7%","22.2%","0.30",".230",".293","1.04",".350","15.1","1.1","-3.6","3.0","$23.6","41","10.4%",".316","11615"
"Luis Arraez","MIN","547",".316",".375",".420",".795","173","50","88","49","133","31","1","8","2","43","3","3","6","4","209","167","928","1485","8.3%","7.1%","1.16",".104",".331","1.25",".350","21.1","-2.0","-0.2","3.2","$25.2","18","3.6%",".333","18568"
"Daniel Vogelbach","- - -","386",".238",".360",".433",".793","92","73","47","59","54","19","1","18","2","114","1","1","11","0","103","112","879","1223","15.8%","24.7%","0.64",".194",".290","0.92",".349","15.0","-0.5","-3.3","1.5","$11.9","29","10.6%",".350","14130"
"Bryan Reynolds","PIT","542",".262",".345",".461",".807","142","56","74","62","92","19","4","27","6","141","14","2","13","7","174","140","840","1463","9.1%","23.0%","0.40",".199",".306","1.24",".349","18.1","-9.1","-2.1","2.9","$23.0","32","7.9%",".329","19326"
"Brendan Donovan","STL","391",".281",".394",".379",".773","110","60","64","45","83","21","1","5","1","70","14","2","8","2","170","76","777","1189","12.8%","15.0%","0.86",".097",".330","2.24",".349","15.9","-1.1","-1.9","2.7","$21.8","11","3.4%",".339","24679"
"Will Smith","LAD","508",".260",".343",".465",".807","132","56","68","87","79","26","3","24","4","96","10","4","11","1","132","196","919","1454","9.7%","16.6%","0.58",".205",".276","0.67",".349","18.5","-2.5","-3.6","3.9","$31.3","43","10.3%",".352","19197"
"Jason Vosler","SFG","98",".265",".342",".469",".812","26","10","14","12","15","6","1","4","1","29","2","1","3","1","25","23","152","267","9.0%","26.1%","0.34",".204",".333","1.09",".349","3.5","-2.8","-0.3","0.5","$3.7","3","4.3%",".312","16686"
"Teoscar Hernandez","TOR","499",".267",".316",".491",".807","133","34","71","77","72","35","1","25","0","152","2","0","18","6","153","119","735","1349","6.4%","28.4%","0.22",".224",".335","1.29",".348","17.5","-2.7","-2.5","2.4","$19.4","52","15.0%",".351","13066"
"Kyle Tucker","HOU","544",".257",".330",".478",".808","140","59","71","107","81","28","1","30","4","95","1","2","11","25","153","211","854","1408","9.7%","15.6%","0.62",".221",".261","0.73",".348","19.9","8.5","4.0","4.7","$37.7","46","10.1%",".353","18345"
"Bo Bichette","TOR","652",".290",".333",".469",".802","189","41","91","93","121","43","1","24","0","155","2","2","21","13","243","154","818","1704","5.9%","22.2%","0.26",".179",".347","1.58",".347","22.7","-6.7","-2.7","4.5","$35.6","48","9.6%",".334","19612"
