"Name","Team","AB","AVG","OBP","SLG","OPS","H","BB","R","RBI","1B","2B","3B","HR","IBB","SO","HBP","SF","GDP","SB","GB","FB","Balls","Strikes","BB%","K%","BB/K","ISO","BABIP","GB/FB","wOBA","Bat","Fld","BsR","WAR","Dol","Barrels","Barrel%","xwOBA","playerid"
"Cedric Mullins II","BAL","608",".258",".318",".403",".721","157","47","89","64","105","32","4","16","2","126","9","5","4","34","184","207","834","1626","7.0%","18.8%","0.37",".145",".299","0.89",".315","4.3","1.2","3.3","3.4","$26.8","24","4.9%",".288","17929"
"Yadiel Hernandez","WSN","305",".269",".312",".410",".722","82","19","30","41","57","16","0","9","0","74","1","2","9","2","119","64","449","854","5.8%","22.6%","0.26",".141",".326","1.86",".315","0.5","-3.4","-5.2","-0.1","($1.1)","20","8.6%",".310","19334"
"Austin Barnes","LAD","179",".212",".324",".380",".704","38","27","31","26","24","6","0","8","0","37","3","1","5","2","60","61","331","519","12.7%","17.5%","0.73",".168",".222","0.98",".315","1.1","3.3","-2.1","1.4","$10.9","7","4.8%",".298","12158"
"David Peralta","- - -","439",".251",".316",".415",".731","110","41","39","59","65","30","3","12","5","114","4","6","8","1","120","136","635","1195","8.4%","23.3%","0.36",".164",".307","0.88",".315","2.4","3.4","0.1","1.7","$13.5","28","8.5%",".313","2136"
"Randal Grichuk","COL","506",".259",".299",".425",".724","131","24","60","73","88","21","3","19","0","127","6","2","12","4","194","138","667","1310","4.5%","23.6%","0.19",".166",".309","1.41",".315","-7.8","-7.9","-1.2","-0.2","($1.6)","26","6.8%",".281","10243"
"Roberto Perez","PIT","60",".233",".333",".367",".700","14","9","8","8","10","2","0","2","0","25","0","0","1","0","16","12","122","186","13.0%","36.2%","0.36",".133",".364","1.33",".315","0.2","1.8","-0.3","0.6","$4.5","4","11.4%",".308","2900"
"Tyrone Taylor","MIL","373",".233",".286",".442",".729","87","22","49","51","46","21","3","17","0","102","7","3","11","3","104","120","504","1018","5.4%","25.2%","0.22",".209",".272","0.87",".314","0.9","4.4","1.2","2.1","$16.6","27","9.9%",".307","13675"
"Austin Hays","BAL","535",".250",".306",".413",".719","134","34","66","60","81","35","2","16","0","114","10","3","11","2","182","159","675","1376","5.8%","19.6%","0.30",".163",".289","1.14",".314","3.2","-1.3","0.6","1.5","$12.3","22","5.2%",".298","19363"
"Jake Lamb","- - -","97",".216",".315",".392",".707","21","11","13","6","11","6","1","3","0","38","3","0","4","0","22","25","169","284","9.9%","34.2%","0.29",".175",".321","0.88",".314","0.7","-1.2","-2.3","-0.1","($1.1)","7","11.9%",".314","13329"
"Anthony Rendon","LAA","166",".229",".326",".380",".706","38","23","15","24","23","10","0","5","0","35","2","2","7","2","47","56","310","449","11.9%","18.1%","0.66",".151",".258","0.84",".314","0.6","0.7","-0.2","0.8","$6.6","11","8.3%",".331","12861"
"Jonathan India","CIN","386",".249",".327",".378",".705","96","31","48","41","68","16","2","10","1","94","14","0","5","3","120","105","621","1111","7.2%","21.8%","0.33",".130",".305","1.14",".314","-2.5","-7.1","-1.0","0.4","$3.1","14","4.8%",".301","21523"
"Connor Joe","COL","404",".238",".338",".359",".697","96","55","56","28","65","20","4","7","0","97","7","1","8","6","143","101","721","1179","11.8%","20.8%","0.57",".121",".296","1.42",".314","-7.1","-1.6","-0.3","0.0","($0.2)","14","4.5%",".311","16572"
"Luis Rengifo","LAA","489",".264",".294",".429",".724","129","17","45","52","86","22","4","17","0","79","4","0","11","6","193","143","586","1232","3.3%","15.5%","0.22",".166",".285","1.35",".314","1.5","-5.6","1.4","1.6","$13.0","22","5.4%",".296","19858"
"Nate Eaton","KCR","106",".264",".331",".387",".717","28","10","16","12","20","4","3","1","0","30","2","3","2","11","28","36","177","302","8.2%","24.6%","0.33",".123",".346","0.78",".313","0.1","1.7","3.1","0.9","$6.9","4","5.0%",".297","25055"
"Bryan De La Cruz","MIA","329",".252",".294",".432",".725","83","19","38","43","50","20","0","13","0","90","2","4","8","4","101","75","486","901","5.4%","25.4%","0.21",".179",".304","1.35",".313","1.6","-4.4","-1.2","0.6","$4.5","29","11.9%",".355","19600"
"Ramon Urias","BAL","403",".248",".305",".414",".720","100","30","50","51","66","17","1","16","1","98","5","4","7","1","146","107","564","1081","6.7%","22.0%","0.31",".166",".287","1.36",".313","2.2","6.9","0.0","2.6","$20.8","30","9.6%",".320","18795"
"Eric Hosmer","- - -","380",".268",".334",".382",".716","102","37","38","44","75","19","0","8","5","64","1","1","12","0","180","80","573","1044","8.8%","15.3%","0.58",".113",".304","2.25",".313","2.1","-0.6","-5.1","0.3","$2.3","18","5.7%",".311","3516"
"Ha-seong Kim","SDP","517",".251",".325",".383",".708","130","51","58","59","87","29","3","11","0","100","7","4","9","12","166","165","856","1503","8.8%","17.2%","0.51",".132",".290","1.01",".313","3.5","4.0","1.9","3.7","$29.3","18","4.2%",".309","27506"
"Jesse Winker","SEA","456",".219",".344",".344",".688","100","84","51","53","71","15","0","14","1","103","4","3","8","0","138","144","930","1299","15.4%","18.8%","0.82",".125",".251","0.96",".313","5.3","-7.8","-4.3","0.4","$3.1","27","7.6%",".345","13590"
"Wilmer Flores","SFG","525",".229",".316",".394",".710","120","59","72","71","72","28","1","19","1","103","11","7","7","0","147","200","877","1549","9.8%","17.1%","0.57",".166",".246","0.74",".312","1.9","-2.9","-1.4","1.4","$11.4","27","6.3%",".310","5827"
"Trey Mancini","- - -","519",".239",".319",".391",".710","124","53","56","63","82","23","1","18","2","135","10","5","12","0","155","152","851","1517","9.0%","23.0%","0.39",".152",".286","1.02",".312","2.6","1.6","-3.0","0.9","$6.8","37","9.5%",".327","15149"
"Christian Vazquez","- - -","398",".274",".315",".399",".714","109","22","41","52","77","23","0","9","0","69","3","3","10","1","150","107","544","1088","5.2%","16.2%","0.32",".126",".310","1.40",".312","-0.3","5.2","-9.9","1.6","$13.0","17","5.1%",".301","9774"
"Jose Iglesias","COL","439",".292",".328",".380",".708","128","17","48","47","95","30","0","3","0","56","8","3","11","2","201","99","500","1238","3.6%","12.0%","0.30",".089",".326","2.03",".312","-7.9","0.3","-3.3","1.0","$8.1","2","0.5%",".281","10231"
"Luis Guillorme","NYM","297",".273",".351",".340",".691","81","34","33","17","66","12","1","2","1","46","2","0","15","1","136","47","507","866","10.1%","13.7%","0.74",".067",".317","2.89",".311","2.4","4.1","-6.1","1.3","$10.8","6","2.4%",".302","16451"
"Luke Voit","- - -","500",".226",".308",".402",".710","113","55","55","69","69","22","0","22","1","179","7","6","9","1","111","132","848","1400","9.7%","31.5%","0.31",".176",".298","0.84",".311","1.3","0.6","-6.2","0.2","$1.5","48","14.7%",".322","14811"
"Eduardo Escobar","NYM","495",".240",".295",".430",".726","119","40","58","69","69","26","4","20","3","129","1","6","4","0","111","176","692","1397","7.4%","23.8%","0.31",".190",".281","0.63",".311","3.9","-4.2","3.1","2.3","$18.6","35","9.4%",".314","6153"
"Kyle Garlick","MIN","150",".233",".284",".433",".717","35","8","23","18","23","3","0","9","0","48","3","1","2","0","41","39","207","395","4.9%","29.6%","0.17",".200",".277","1.05",".311","0.8","-3.4","1.1","0.1","$1.1","10","9.7%",".305","18063"
"Jack Suwinski","PIT","326",".202",".298",".411",".709","66","41","45","38","36","11","0","19","1","114","4","1","5","4","90","90","586","986","11.0%","30.6%","0.36",".209",".242","1.00",".311","-0.1","7.5","0.6","1.8","$14.2","26","12.2%",".307","22244"
"Amed Rosario","CLE","637",".283",".312",".403",".715","180","25","86","71","134","26","9","11","0","111","4","4","19","18","278","145","718","1677","3.7%","16.6%","0.23",".121",".326","1.92",".311","1.9","-7.7","1.5","2.4","$19.0","24","4.5%",".310","15518"
"Bobby Witt Jr.","KCR","591",".254",".294",".428",".722","150","30","82","80","93","31","6","20","2","135","6","5","12","30","167","214","755","1576","4.7%","21.4%","0.22",".174",".295","0.78",".311","-0.5","-9.1","6.8","2.3","$18.6","40","8.7%",".313","25764"
"Wil Myers","SDP","261",".261",".315",".398",".713","68","21","29","41","46","15","0","7","1","86","1","3","7","2","71","67","420","740","7.3%","30.1%","0.24",".138",".357","1.06",".311","1.2","1.4","1.2","1.0","$8.3","13","7.3%",".288","10047"
"Matt Wallner","MIN","57",".228",".323",".386",".709","13","6","4","10","8","3","0","2","1","25","2","0","0","1","17","9","106","151","9.2%","38.5%","0.24",".158",".367","1.89",".311","0.3","-1.3","0.4","0.1","$0.5","3","9.4%",".245","26466"
"MJ Melendez","KCR","460",".217",".313",".393",".706","100","66","57","62","58","21","3","18","1","131","1","7","2","2","131","137","852","1344","12.4%","24.5%","0.50",".176",".258","0.96",".310","-0.8","-18.4","-0.3","-0.2","($1.4)","35","10.4%",".332","22197"
"Elvis Andrus","- - -","535",".249",".303",".404",".707","133","39","66","58","84","32","0","17","0","92","3","0","11","18","204","159","809","1443","6.8%","15.9%","0.42",".155",".272","1.28",".310","3.3","0.2","6.0","3.5","$28.3","20","4.5%",".293","8709"
"Alec Bohm","PHI","586",".280",".315",".398",".713","164","31","79","72","124","24","3","13","1","110","4","10","18","2","224","148","789","1512","4.9%","17.4%","0.28",".118",".319","1.51",".310","-1.7","-5.4","-0.5","1.5","$11.9","33","6.8%",".333","21618"
"Joey Votto","CIN","322",".205",".319",".370",".689","66","44","31","41","36","18","1","11","0","97","10","0","8","0","100","84","593","912","11.7%","25.8%","0.45",".165",".257","1.19",".310","-3.5","-6.2","-4.1","-0.9","($6.9)","25","11.1%",".322","4314"
"Jeremy Pena","HOU","521",".253",".289",".426",".715","132","22","72","63","88","20","2","22","0","135","6","5","5","11","179","127","637","1367","3.9%","24.2%","0.16",".173",".298","1.41",".309","1.1","4.0","3.7","3.4","$27.4","38","9.6%",".300","21636"
"Andrew McCutchen","MIL","515",".237",".316",".384",".700","122","57","66","69","80","25","0","17","1","124","4","4","10","8","165","148","915","1449","9.8%","21.4%","0.46",".148",".278","1.11",".309","-1.2","-0.3","-4.1","0.3","$2.5","34","8.6%",".325","9847"
"Kyle Farmer","CIN","526",".255",".315",".386",".701","134","33","58","78","94","25","1","14","0","99","16","6","20","4","194","137","697","1448","5.7%","17.0%","0.33",".131",".286","1.42",".309","-5.7","0.4","-4.6","1.4","$11.3","19","4.4%",".311","14813"
"Trevor Larnach","MIN","160",".231",".306",".406",".712","37","18","22","18","19","13","0","5","1","57","0","2","1","0","44","41","282","442","10.0%","31.7%","0.32",".175",".320","1.07",".309","0.5","6.2","0.6","1.1","$8.8","12","11.4%",".322","21501"
"Mitch Garver","TEX","188",".207",".298",".404",".702","39","23","23","24","22","7","0","10","0","53","2","2","3","1","47","67","357","586","10.7%","24.7%","0.43",".197",".228","0.70",".308","0.1","-1.5","0.4","0.3","$2.5","12","8.8%",".319","15161"
"Manuel Margot","TBR","336",".274",".325",".375",".700","92","24","36","47","68","18","2","4","1","68","2","1","7","7","117","84","474","923","6.6%","18.7%","0.35",".101",".332","1.39",".308","2.3","2.1","2.3","1.5","$11.9","10","3.7%",".299","14712"
"Carlos Santana","- - -","431",".202",".316",".376",".692","87","71","52","60","50","18","0","19","2","88","2","2","9","0","135","151","820","1246","14.0%","17.4%","0.81",".174",".209","0.89",".308","1.0","2.8","1.0","1.0","$8.3","32","9.3%",".352","2396"
"Nick Fortes","MIA","217",".230",".304",".392",".696","50","18","41","24","34","6","1","9","0","45","5","0","5","5","69","73","323","527","7.5%","18.8%","0.40",".161",".252","0.95",".308","0.0","2.8","0.0","1.4","$11.1","12","7.0%",".319","21538"
"Gavin Sheets","CHW","377",".241",".295",".411",".706","91","27","34","53","57","19","0","15","0","86","3","3","9","0","118","131","589","1110","6.6%","21.0%","0.31",".170",".272","0.90",".308","-0.1","-3.4","-2.6","0.1","$1.0","19","6.5%",".283","19901"
"Lane Thomas","WSN","498",".241",".301",".404",".705","120","41","62","52","75","26","2","17","0","132","4","5","8","8","167","140","782","1422","7.5%","24.1%","0.31",".163",".291","1.19",".308","-2.4","-1.7","-0.6","1.1","$8.9","24","6.5%",".286","16939"
"Ben Gamel","PIT","371",".232",".324",".369",".693","86","48","42","46","55","20","2","9","2","98","3","1","5","5","117","94","681","1032","11.3%","23.2%","0.49",".137",".291","1.24",".308","-1.4","-7.9","1.4","0.0","$0.1","17","6.2%",".316","12160"
"Tyler O'Neill","STL","334",".228",".308",".392",".700","76","38","56","58","50","11","1","14","0","103","4","7","9","14","100","90","600","994","9.9%","26.9%","0.37",".165",".277","1.11",".307","0.4","0.4","1.4","1.3","$10.3","27","11.3%",".331","15711"
"Austin Meadows","DET","128",".250",".347",".328",".675","32","16","9","11","24","6","2","0","0","17","3","0","2","0","41","49","235","355","10.9%","11.6%","0.94",".078",".288","0.84",".307","0.2","-4.0","-1.2","-0.2","($1.7)","7","6.3%",".380","15672"
"Logan O'Hoppe","LAA","14",".286",".375",".286",".661","4","2","1","2","4","0","0","0","0","3","0","0","0","0","4","5","24","36","12.5%","18.8%","0.67",".000",".364","0.80",".307","0.0","-0.2","-0.6","0.0","$0.0","0","0.0%",".285","24729"
"Mike Yastrzemski","SFG","485",".214",".305",".392",".697","104","61","73","57","54","31","2","17","0","141","5","6","3","5","119","160","902","1447","10.9%","25.3%","0.43",".177",".261","0.74",".307","-0.8","2.4","2.6","2.2","$17.6","39","11.1%",".314","14854"
"P.J. Higgins","CHC","201",".229",".310",".383",".693","46","22","23","30","28","11","1","6","0","58","2","1","2","0","60","47","345","571","9.6%","25.3%","0.38",".154",".290","1.28",".306","-0.7","-4.2","-1.2","0.1","$1.2","5","3.4%",".264","18433"
"Dylan Carlson","STL","432",".236",".316",".380",".695","102","45","56","42","60","30","4","8","1","94","7","4","6","5","143","125","737","1227","9.2%","19.3%","0.48",".144",".281","1.14",".306","0.2","4.2","3.8","2.4","$19.3","15","4.4%",".301","20126"
"Emmanuel Rivera","- - -","330",".233",".292",".409",".702","77","23","46","40","46","16","3","12","0","83","5","1","8","1","121","87","457","867","6.4%","23.1%","0.28",".176",".275","1.39",".306","-1.8","0.6","-0.9","1.0","$8.1","23","9.3%",".310","19890"
"Brandon Lowe","TBR","235",".221",".308",".383",".691","52","27","31","25","32","10","2","8","0","61","3","1","1","1","66","72","366","638","10.2%","22.9%","0.44",".162",".263","0.92",".306","1.2","-2.8","2.0","0.9","$7.2","18","10.3%",".320","18882"
"Jace Peterson","MIL","288",".236",".316",".382",".698","68","33","44","34","44","14","2","8","2","85","2","3","8","12","92","65","519","901","10.1%","25.9%","0.39",".146",".303","1.42",".306","-1.5","6.1","5.2","2.2","$17.7","15","7.2%",".303","12325"
"J.P. Crawford","SEA","518",".243",".339",".336",".675","126","68","57","42","93","24","3","6","0","80","10","5","11","3","199","138","991","1486","11.3%","13.3%","0.85",".093",".275","1.44",".306","2.5","-7.9","-1.0","2.0","$16.1","9","2.0%",".315","15491"
"Jonah Heim","TEX","406",".227",".298",".399",".697","92","41","51","48","55","20","1","16","0","87","1","2","10","2","125","139","622","1137","9.1%","19.3%","0.47",".172",".249","0.90",".306","-0.6","8.1","-1.8","2.8","$22.6","22","6.9%",".291","16930"
"Abraham Almonte","BOS","35",".257",".297",".400",".697","9","1","7","2","6","2","0","1","0","12","1","0","1","1","9","10","53","99","2.7%","32.4%","0.08",".143",".364","0.90",".306","-0.3","-1.9","0.7","-0.1","($0.5)","1","4.3%",".234","5486"
"Santiago Espinal","TOR","449",".267",".322",".370",".692","120","36","51","51","88","25","0","7","1","68","2","3","12","6","164","130","688","1224","7.3%","13.8%","0.53",".102",".300","1.26",".305","-0.4","6.2","-1.5","2.3","$18.4","13","3.4%",".298","19997"
"Jackson Frazier","CHC","37",".216",".356",".297",".653","8","7","4","1","5","3","0","0","0","11","1","0","1","1","12","8","72","96","15.6%","24.4%","0.64",".081",".308","1.50",".305","-0.2","-1.1","0.0","-0.1","($0.7)","1","3.8%",".300","15983"
"Josh Harrison","CHW","386",".256",".317",".370",".687","99","21","50","27","71","19","2","7","0","71","14","2","9","2","139","123","485","1048","4.9%","16.7%","0.30",".114",".297","1.13",".305","-1.1","1.4","-1.6","1.4","$11.2","12","3.8%",".284","8202"
"Jorge Soler","MIA","270",".207",".295",".400",".695","56","31","32","34","30","13","0","13","1","90","3","1","9","0","76","73","500","776","10.1%","29.4%","0.34",".193",".256","1.04",".305","-0.7","0.3","-0.8","0.5","$4.4","22","12.1%",".322","14221"
"Rafael Ortega","CHC","316",".241",".331",".358",".688","76","44","35","35","54","14","1","7","2","74","2","7","10","12","83","111","582","935","11.9%","19.9%","0.59",".117",".285","0.75",".305","-1.7","1.6","-3.5","0.7","$5.3","12","4.8%",".307","10323"
"Ozzie Albies","ATL","247",".247",".294",".409",".703","61","16","36","35","37","16","0","8","0","47","2","4","0","3","77","90","334","693","5.9%","17.5%","0.34",".162",".270","0.86",".305","-2.1","1.5","1.5","1.1","$9.1","11","5.4%",".297","16556"
"Franchy Cordero","BOS","242",".219",".300",".397",".697","53","28","36","29","27","17","1","8","1","92","1","2","1","4","58","58","398","693","10.2%","33.5%","0.30",".178",".313","1.00",".304","-2.4","-6.4","2.6","-0.2","($1.7)","19","12.3%",".313","14567"
"Nick Castellanos","PHI","524",".263",".305",".389",".694","138","29","56","62","98","27","0","13","0","130","3","2","15","7","166","151","662","1404","5.2%","23.3%","0.22",".126",".326","1.10",".304","-3.9","-12.4","-2.8","-0.7","($5.9)","26","6.6%",".302","11737"
"Tommy Pham","- - -","554",".236",".312",".374",".686","131","56","89","63","90","23","1","17","0","167","7","5","20","8","188","132","932","1573","9.0%","26.8%","0.34",".137",".304","1.42",".304","-7.5","-2.0","1.9","0.6","$5.0","31","7.9%",".311","2967"
"Tyler Naquin","- - -","310",".229",".282",".423",".705","71","19","47","46","37","19","4","11","2","93","4","0","3","4","83","85","399","862","5.7%","27.8%","0.20",".194",".291","0.98",".303","-2.7","-3.0","2.3","0.3","$2.6","21","9.6%",".317","13359"
"Terrin Vavra","BAL","89",".258",".340",".337",".677","23","12","14","12","19","2","1","1","0","19","0","2","2","0","28","22","135","248","11.7%","18.4%","0.63",".079",".310","1.27",".303","-0.3","0.1","-1.7","0.0","$0.2","1","1.4%",".318","24400"
"Brandon Belt","SFG","254",".213",".326",".350",".676","54","37","25","23","36","9","1","8","2","81","6","1","9","1","46","84","476","718","12.4%","27.2%","0.46",".138",".277","0.55",".303","-1.2","-2.0","-1.0","0.0","$0.2","22","12.6%",".326","10264"
"Luis Garcia","WSN","360",".275",".295",".408",".704","99","11","29","45","67","23","2","7","1","84","1","4","5","3","143","74","381","942","2.9%","22.3%","0.13",".133",".337","1.93",".303","-3.1","-9.8","-2.5","0.0","$0.3","21","7.5%",".305","20391"
"Pedro Severino","MIL","18",".222",".333",".333",".667","4","3","0","1","2","2","0","0","0","7","0","0","0","0","4","4","34","61","14.3%","33.3%","0.43",".111",".364","1.00",".303","-0.1","0.0","0.1","0.1","$0.6","0","0.0%",".227","14523"
"Riley Greene","DET","376",".253",".321",".362",".682","95","36","46","42","68","18","4","5","0","120","3","3","8","1","145","62","625","1091","8.6%","28.7%","0.30",".109",".354","2.34",".303","-1.0","-5.0","-0.1","0.9","$7.2","24","9.3%",".316","25976"
"Corey Dickerson","STL","281",".267",".300",".399",".698","75","12","28","36","51","17","1","6","1","48","2","2","4","0","108","77","328","755","4.0%","16.2%","0.25",".132",".301","1.40",".303","-0.8","0.1","-0.4","0.4","$3.6","9","3.8%",".292","10762"
"Elehuris Montero","COL","176",".233",".270",".432",".702","41","8","21","20","19","15","1","6","0","60","1","0","4","0","43","48","210","464","4.3%","32.4%","0.13",".199",".318","0.90",".303","-4.4","1.8","0.3","0.2","$1.6","10","8.6%",".260","20543"
"Kevin Newman","PIT","288",".274",".316",".372",".687","79","16","31","24","57","18","2","2","0","48","2","1","6","8","102","75","353","727","5.2%","15.5%","0.33",".097",".322","1.36",".303","-2.2","-0.3","3.0","1.3","$10.5","4","1.6%",".285","17696"
"Esteban Quiroz","CHC","40",".275",".370",".275",".645","11","4","3","3","11","0","0","0","0","9","2","0","0","1","13","8","63","122","8.5%","19.1%","0.44",".000",".355","1.63",".303","-0.3","0.4","0.2","0.2","$1.7","1","3.1%",".290","19780"
"Nick Ahmed","ARI","52",".231",".259",".442",".702","12","2","7","7","7","2","0","3","0","15","0","0","2","0","21","11","66","145","3.7%","27.8%","0.13",".212",".265","1.91",".302","-0.5","1.5","0.1","0.4","$2.9","2","5.4%",".227","12147"
"Michael Massey","KCR","173",".243",".307",".376",".683","42","9","16","17","28","9","1","4","0","46","8","2","1","3","44","55","233","486","4.6%","23.7%","0.20",".133",".304","0.80",".302","-1.6","-1.1","1.4","0.6","$4.5","17","13.0%",".332","27684"
"Luis Gonzalez","SFG","311",".254",".323",".360",".683","79","30","31","36","56","17","2","4","1","75","4","5","5","10","104","85","539","933","8.6%","21.4%","0.40",".106",".316","1.22",".302","-1.9","-4.1","0.6","0.3","$2.2","7","2.9%",".268","20332"
"Cavan Biggio","TOR","257",".202",".318",".350",".668","52","38","43","24","27","18","1","6","0","85","6","1","2","2","61","75","505","777","12.5%","28.1%","0.45",".148",".275","0.81",".302","-1.2","4.4","2.2","1.3","$10.7","12","6.9%",".288","19252"
"Ildemaro Vargas","- - -","209",".263",".299",".392",".691","55","8","19","23","37","13","1","4","0","23","3","1","6","3","88","58","262","532","3.6%","10.4%","0.35",".129",".279","1.52",".302","-2.0","5.8","0.5","1.4","$11.0","4","2.1%",".255","13324"
"Josh Donaldson","NYY","478",".222",".308",".374",".682","106","54","59","62","63","28","0","15","1","148","8","6","13","2","145","130","798","1378","9.9%","27.1%","0.36",".153",".283","1.12",".302","-2.0","5.5","-4.5","1.6","$12.9","33","9.8%",".299","5038"
"Yermin Mercedes","SFG","73",".233",".325",".342",".668","17","9","9","8","11","5","0","1","0","17","1","0","1","0","14","28","123","230","10.8%","20.5%","0.53",".110",".291","0.50",".301","-0.5","-2.1","0.0","-0.2","($1.5)","4","7.1%",".329","17423"
"Aledmys Diaz","HOU","305",".243",".287",".403",".691","74","18","35","38","49","13","0","12","0","53","2","2","7","1","102","94","412","766","5.5%","16.2%","0.34",".161",".256","1.09",".301","-1.5","1.3","-3.8","0.6","$4.6","16","6.3%",".308","15937"
"Christian Bethancourt","- - -","318",".252",".283",".409",".692","80","12","39","34","52","17","0","11","0","80","2","0","6","5","107","83","311","795","3.6%","24.0%","0.15",".157",".304","1.29",".301","0.2","7.6","-1.0","1.9","$14.9","28","11.7%",".318","10028"
"Colin Moran","CIN","109",".211",".305",".376",".681","23","16","11","23","15","3","0","5","0","30","0","3","4","0","41","25","199","331","12.5%","23.4%","0.53",".165",".234","1.64",".300","-2.1","0.8","-0.9","0.0","$0.3","7","8.5%",".318","16909"
"Taylor Trammell","SEA","102",".196",".284",".402",".686","20","13","15","10","7","9","0","4","0","33","0","1","2","2","25","31","160","270","11.1%","28.2%","0.39",".206",".242","0.81",".300","-0.1","1.8","-0.5","0.4","$3.0","7","9.9%",".292","19960"
"Keibert Ruiz","WSN","394",".251",".313",".360",".673","99","30","33","36","70","22","0","7","0","50","6","2","9","6","139","128","536","1002","6.9%","11.5%","0.60",".109",".271","1.09",".299","-4.9","-0.3","-0.2","1.7","$13.8","13","3.7%",".328","19610"
"Max Kepler","MIN","388",".227",".318",".348",".666","88","49","54","43","60","18","1","9","1","66","5","4","7","3","149","112","646","1010","11.0%","14.8%","0.74",".121",".249","1.33",".298","-2.6","11.5","0.8","2.0","$16.0","23","7.1%",".338","12144"
"Jon Berti","MIA","358",".240",".324",".338",".662","86","42","47","28","62","17","3","4","0","89","3","1","6","41","143","82","588","982","10.4%","22.0%","0.47",".098",".308","1.74",".298","-3.1","3.2","8.0","2.3","$18.6","16","5.9%",".306","12037"
"Chris Taylor","LAD","402",".221",".304",".373",".677","89","44","45","43","51","25","3","10","2","160","5","3","4","10","75","103","744","1236","9.7%","35.2%","0.28",".152",".336","0.73",".298","-3.8","7.3","3.4","1.9","$15.5","25","10.2%",".277","13757"
"Jesus Sanchez","MIA","313",".214",".280",".403",".682","67","26","38","36","37","14","3","13","0","92","3","1","7","1","103","81","510","881","7.6%","26.8%","0.28",".188",".258","1.27",".298","-2.7","0.6","-1.5","0.9","$7.1","22","9.9%",".298","19913"
"Marcell Ozuna","ATL","470",".226",".274",".413",".687","106","31","56","56","64","19","0","23","0","122","2","4","12","2","133","153","708","1315","6.1%","24.1%","0.25",".187",".252","0.87",".298","-6.8","-3.1","-2.6","-0.6","($4.5)","46","13.1%",".337","10324"
"LaMonte Wade Jr.","SFG","217",".207",".305",".359",".665","45","26","29","26","29","7","1","8","0","51","5","1","0","1","53","83","371","621","10.4%","20.3%","0.51",".152",".233","0.64",".298","-2.1","-0.9","0.8","0.2","$1.9","16","9.5%",".321","18126"
"Hunter Dozier","KCR","462",".236",".292",".387",".679","109","34","51","41","67","26","4","12","0","125","3","1","14","4","143","125","691","1247","6.8%","25.0%","0.27",".152",".298","1.14",".298","-5.7","-4.4","-8.4","-1.0","($7.8)","26","7.7%",".301","15117"
"Austin Wynns","SFG","162",".259",".313",".358",".671","42","10","14","21","32","7","0","3","0","38","3","1","9","0","58","40","225","478","5.6%","21.5%","0.26",".099",".320","1.45",".298","-1.5","-1.1","-2.5","0.4","$3.1","5","4.0%",".267","15271"
"A.J. Pollock","CHW","489",".245",".292",".389",".681","120","32","61","56","79","26","1","14","0","98","2","4","13","3","178","141","617","1220","6.1%","18.6%","0.33",".143",".278","1.26",".297","-4.5","-1.7","-1.5","0.5","$4.4","37","9.4%",".317","9256"
"Nomar Mazara","SDP","159",".264",".316",".352",".668","42","10","16","18","32","8","0","2","0","40","2","0","3","0","43","46","259","455","5.8%","23.4%","0.25",".088",".342","0.93",".297","-1.1","-1.3","0.0","0.2","$1.3","5","4.2%",".294","14553"
"Michael A. Taylor","KCR","414",".254",".313",".357",".670","105","35","49","43","83","10","3","9","0","109","2","3","6","4","123","125","590","1127","7.7%","23.9%","0.32",".104",".321","0.98",".297","-5.3","3.4","0.6","1.5","$12.4","21","6.8%",".289","11489"
"Nolan Jones","CLE","86",".244",".309",".372",".681","21","8","10","13","14","5","0","2","1","31","0","0","2","0","19","19","145","254","8.5%","33.0%","0.26",".128",".358","1.00",".297","-0.8","1.4","-0.8","0.2","$1.3","8","14.5%",".325","20529"
"Leody Taveras","TEX","314",".261",".309",".366",".675","82","21","39","34","61","14","2","5","0","88","2","3","2","11","94","80","440","834","6.2%","25.8%","0.24",".105",".344","1.18",".297","-2.8","0.5","2.2","1.2","$9.9","10","4.3%",".270","18900"
"Reese McGuire","- - -","249",".269",".307",".369",".677","67","12","25","22","49","14","1","3","0","56","3","3","6","1","74","74","294","673","4.4%","20.4%","0.21",".100",".332","1.00",".297","-3.2","6.6","-1.9","1.6","$13.1","5","2.5%",".267","15674"
"Harold Castro","DET","420",".271",".300",".381",".681","114","17","37","47","84","21","2","7","1","79","1","2","5","0","152","102","524","1136","3.8%","17.8%","0.22",".110",".318","1.49",".297","-3.2","-9.4","-1.6","-0.4","($2.9)","21","6.1%",".316","14691"
"Brandon Marsh","- - -","424",".245",".295",".384",".679","104","28","49","52","71","18","4","11","1","158","3","3","4","10","113","87","609","1198","6.1%","34.3%","0.18",".139",".360","1.30",".296","-5.4","6.4","2.5","1.7","$13.4","20","7.4%",".287","20202"
"Sam Huff","TEX","121",".240",".303",".372",".675","29","11","9","10","21","4","0","4","1","42","0","0","1","1","34","26","174","327","8.3%","31.8%","0.26",".132",".333","1.31",".296","-1.2","0.1","0.4","0.5","$4.0","8","10.1%",".294","22209"
"Shea Langeliers","OAK","142",".218",".261",".430",".691","31","9","14","22","14","10","1","6","0","53","0","2","4","0","35","36","192","391","5.9%","34.6%","0.17",".211",".294","0.97",".296","-0.5","-1.3","-0.3","0.1","$1.0","9","9.9%",".261","25816"
