,000,010,020,030,040,050,060,070,080,090,100,110,120,130,140,150,160,170,180,190,200,210,220,230,240,250,260,270,280,290,300,310,320,330,340,350
100,0.9827060699462891,0.9866622686386108,0.9897457361221313,0.9907506108283997,0.9924783706665039,0.9943851828575134,0.9953998327255249,0.9972648024559021,0.9985407590866089,0.9996280670166016,0.9999998807907104,0.999468982219696,0.9979537129402161,0.9972418546676636,0.9959908723831177,0.9949225187301636,0.9930676221847534,0.991385817527771,0.9897261261940002,0.9896471500396729,0.98923659324646,0.9884248971939087,0.986775279045105,0.9847886562347412,0.9818905591964722,0.9832147359848022,0.983532190322876,0.9830766320228577,0.9827914834022522,0.9836261868476868,0.9842462539672852,0.9836122989654541,0.9832324981689453,0.9824439883232117,0.9821574687957764,0.9822059869766235
110,0.9822205901145935,0.9858111143112183,0.9883403182029724,0.9888301491737366,0.9903507232666016,0.9922101497650146,0.9930089712142944,0.9951132535934448,0.9967054724693298,0.9984265565872192,0.999468982219696,1.0,0.9993526339530945,0.9987372159957886,0.9975135922431946,0.9963842034339905,0.9945220351219177,0.9927253127098083,0.990668773651123,0.9901862144470215,0.9894211292266846,0.9882351160049438,0.9862396717071533,0.9842395782470703,0.9814846515655518,0.9828147888183594,0.9831172227859497,0.9826483130455017,0.9823483824729919,0.9832059144973755,0.9836837649345398,0.9829515218734741,0.9824748039245605,0.9815316796302795,0.9812660217285156,0.981430172920227
120,0.9823769330978394,0.9854351878166199,0.9873173236846924,0.9872568249702454,0.9883781671524048,0.9899048805236816,0.9903765320777893,0.9924806356430054,0.9942319989204407,0.996391773223877,0.9979537129402161,0.9993526339530945,1.0,0.9995303153991699,0.9983392953872681,0.9971185326576233,0.9951912760734558,0.9934107065200806,0.9911842942237854,0.9906036853790283,0.9897003173828125,0.9884041547775269,0.9862978458404541,0.9844534397125244,0.9819202423095703,0.9831361174583435,0.9833121299743652,0.9827644228935242,0.9823612570762634,0.9830722808837891,0.983306348323822,0.9825308322906494,0.9820867776870728,0.9811556339263916,0.9810390472412109,0.9812986850738525
130,0.9816479682922363,0.9848623871803284,0.9866663813591003,0.9865055084228516,0.9874509572982788,0.9890308380126953,0.9895123243331909,0.9915633201599121,0.993475079536438,0.9956252574920654,0.9972418546676636,0.9987372159957886,0.9995303153991699,1.0,0.9995431303977966,0.998773455619812,0.997243344783783,0.9956817626953125,0.9934258460998535,0.9926496148109436,0.9913543462753296,0.9895724058151245,0.9868793487548828,0.9843314290046692,0.9810527563095093,0.9825575947761536,0.9828931093215942,0.9824118614196777,0.982102632522583,0.9830248951911926,0.9836350679397583,0.982825756072998,0.9823377132415771,0.9813528656959534,0.9810602068901062,0.9811623096466064
140,0.9802188873291016,0.9836487174034119,0.9854385256767273,0.9851865172386169,0.9859927892684937,0.9876691102981567,0.9881389737129211,0.9901415705680847,0.9921634793281555,0.9943007826805115,0.9959908723831177,0.9975135922431946,0.9983392953872681,0.9995431303977966,1.000000238418579,0.9997200965881348,0.9987398982048035,0.9974032640457153,0.9951813220977783,0.9942704439163208,0.9926515817642212,0.9904201030731201,0.9871862530708313,0.9840316772460938,0.9800733327865601,0.9818087816238403,0.9823020696640015,0.9817854166030884,0.9814837574958801,0.9825921058654785,0.9835227727890015,0.9826899766921997,0.9821054339408875,0.9810385704040527,0.9804814457893372,0.9804027080535889
150,0.9789286851882935,0.982545793056488,0.9843016862869263,0.9840633869171143,0.9847819209098816,0.9865602254867554,0.9870892763137817,0.9890238642692566,0.9911485910415649,0.9932570457458496,0.9949225187301636,0.9963842034339905,0.9971185326576233,0.998773455619812,0.9997200965881348,1.0,0.9995421171188354,0.9985727667808533,0.9964414834976196,0.9953097105026245,0.9934946298599243,0.9910042881965637,0.9874660968780518,0.9838730096817017,0.9794384241104126,0.9812260866165161,0.9817119240760803,0.9810773730278015,0.9807074069976807,0.981817901134491,0.9828494787216187,0.9819340705871582,0.9812644124031067,0.9801703691482544,0.9795017242431641,0.9793868064880371
160,0.9773691296577454,0.9810895919799805,0.982600212097168,0.9820684790611267,0.9826898574829102,0.9845675230026245,0.9850923418998718,0.9870151877403259,0.9891158938407898,0.9912796020507812,0.9930676221847534,0.9945220351219177,0.9951912760734558,0.997243344783783,0.9987398982048035,0.9995421171188354,0.9999998211860657,0.9995340704917908,0.9976071715354919,0.9961351156234741,0.9941737651824951,0.9913835525512695,0.9874711036682129,0.9833635091781616,0.9782195091247559,0.9800649881362915,0.9805307388305664,0.979620099067688,0.9790735840797424,0.9801936149597168,0.98139888048172,0.9805064797401428,0.9798093438148499,0.9787421226501465,0.9780060648918152,0.9780303239822388
170,0.9767546653747559,0.9804288148880005,0.981673002243042,0.9810559153556824,0.9815887212753296,0.9834094047546387,0.9839307069778442,0.9856693744659424,0.9877128601074219,0.9897556304931641,0.991385817527771,0.9927253127098083,0.9934107065200806,0.9956817626953125,0.9974032640457153,0.9985727667808533,0.9995340704917908,1.0,0.9988792538642883,0.9972741007804871,0.9952995181083679,0.9924070835113525,0.9882924556732178,0.9840149879455566,0.9786549806594849,0.9803297519683838,0.9806142449378967,0.9794718027114868,0.97872394323349,0.9797264337539673,0.9808875322341919,0.9800158143043518,0.9792369604110718,0.9781471490859985,0.9774020910263062,0.9773709177970886
180,0.9767798185348511,0.9804777503013611,0.981667160987854,0.9810837507247925,0.9817347526550293,0.9835079908370972,0.9841614961624146,0.9853956699371338,0.9869301319122314,0.9885072708129883,0.9897261261940002,0.990668773651123,0.9911842942237854,0.9934258460998535,0.9951813220977783,0.9964414834976196,0.9976071715354919,0.9988792538642883,1.0000001192092896,0.9985310435295105,0.9966921806335449,0.9937516450881958,0.9893386363983154,0.9849543571472168,0.9793986082077026,0.9808182716369629,0.9809141755104065,0.9794481992721558,0.9784390926361084,0.979497492313385,0.9808281660079956,0.9798935055732727,0.9790396094322205,0.9778954386711121,0.9770718812942505,0.9770001173019409
190,0.9784796833992004,0.9820288419723511,0.9831691980361938,0.9825001955032349,0.9829055666923523,0.9842278957366943,0.9843214154243469,0.9857198596000671,0.9872828125953674,0.9886642694473267,0.9896471500396729,0.9901862144470215,0.9906036853790283,0.9926496148109436,0.9942704439163208,0.9953097105026245,0.9961351156234741,0.9972741007804871,0.9985310435295105,1.0000001192092896,0.9993725419044495,0.997393012046814,0.9936631321907043,0.9895541667938232,0.9840426445007324,0.9849424362182617,0.9847080707550049,0.9833061695098877,0.9821077585220337,0.9823838472366333,0.9828212857246399,0.982077956199646,0.9813945889472961,0.9804009199142456,0.9796546101570129,0.9793212413787842
